sample_name,url
HeLa_DRIPc_WT_LS61A_rep1_pos.bw,https://s3-us-west-1.amazonaws.com/muhucsc/HeLa_DRIPc_WT_LS61A_rep1_pos.bw
HeLa_DRIPc_WT_LS61A_rep1_neg.bw,https://s3-us-west-1.amazonaws.com/muhucsc/HeLa_DRIPc_WT_LS61A_rep1_neg.bw
HeLa_DRIPc_WT_LS61C_rep2_pos.bw,https://s3-us-west-1.amazonaws.com/muhucsc/HeLa_DRIPc_WT_LS61C_rep2_pos.bw
HeLa_DRIPc_WT_LS61C_rep2_neg.bw,https://s3-us-west-1.amazonaws.com/muhucsc/HeLa_DRIPc_WT_LS61C_rep2_neg.bw
